geneSymbol,No Dox,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
RP11-927P21.6,0.271562333,0.169464667,0,0.378462667,0.523018333,0.177840667,0.073819667,0.420601333
AC010329.1,0,0,0,0,0,0,0,0
RN7SL785P,0,0,0,0,0,0,0,0
RN7SL612P,0,0,0,0,0,0,0,0
RP1-37N7.2,0,0,0,0,0,0,0,0
AC007216.1,0,0,0,0,0,0,0,0
RN7SL758P,0,0,0,0,0,0,0,0
RN7SL557P,0,0,0,0,0,0,0,0
MIR3147,0,0,0,0,0,0,0,0
RP11-769O8.1,0,0,0,0.0090741,0,0,0,0
RP11-1109M24.11,0,0,0,0,0,0,0,0
STRADA,20.80321987,26.25951239,30.4646887,32.33275061,32.58949126,44.0557704,37.28515126,35.21970343
MIR4666A,0,0,0,0,0,0,0,0
AL080243.1,0,0,0,0,0,0,0,0
RP11-855A2.5,0.986528333,0.449341,1.54476,1.077821333,1.565533333,0.460604,0.677424333,0.653748
RP11-1113L8.6,0,0.008125333,0.009594833,0,0.009740267,0,0.0107218,0
MIR4282,0,0,0,0,0,0,0,0
RP11-178F10.4,0,0,0,0,0,0,0,0
AL662800.2,0,0,0,0,0,0,0,0
RP11-552O4.2,0,0,0,0,0,0,0,0
RN7SL804P,0,0.125067333,0,0,0,0,0,0
AC007040.3,0,0,0,0,0,0,0,0
RN7SL480P,0,0,0,0,0,0,0,0
MIR5095,0,0,0,0,0,0,0,0
MIR3186,0,0,0,0,0,0,0,0
RP11-218F4.2,0,0,0,0,0,0,0,0
MIR1260B,0,0,0,0,0,0,0,0
MIR4468,0,0,0,0,0,0,0,0
MIR4661,0,0,0,0,0,0,0,0
RN7SL163P,0,0,0,0,0,0,0,0
RP11-675P14.1,0,0,0,0,0,0,0,0
RN7SL527P,0,0,0,0,0,0,0,0
RN7SL514P,0,0,0,0,0,0,0,0
SS18L2P2,0,0,0,0,0,0,0,0
LYRM9,9.824E-19,9.98143E-23,8.23427E-10,1.60379E-12,5.08971E-10,4.31061E-22,1.55893E-18,4.17993E-13
MIR5585,0,0,0,0,0,0,0,0
MIR5589,0,0,0,0,0,0,0,0
AC025678.1,0,0,0,0,0,0,0,0
MIR3926-2,0,0,0,0,0,0,0,0
AL583784.1,0,0,0,0,0,0,0,0
CTD-2267D19.3,4.254443333,3.861543333,3.621456667,3.135796667,3.516176667,2.732513333,4.01499,3.43156
AC005783.1,0,0,0,0,0,0,0,0
RN7SL371P,0,0,0,0,0,0,0,0
MIR3156-3,0,0,0,0,0,0,0,0
RP11-100K18.1,0,0,0,0,0,0,0,0
MIR3167,0,0,0,0,0,0,0,0
AL359538.2,0,0,0,0,0,0,0,0
AC092865.2,0,0,0,0,0,0,0,0
AC010723.2,0,0,0,0,0,0,0,0
RP11-746E8.1,0,0,0,0,0,0,0,0
RP11-433M22.1,0,0,0,0,0,0,0,0
RN7SL84P,0,0,0,0,0,0,0,0
AL158077.1,0,0,0,0,0,0,0,0
MIR4323,0,0,0,0,0,0,0,0
NPM1P2,0,0,0,0,0,0,0,0
MIR3611,0,0,0,0,0,0,0,0
AC020606.1,0,0,0,16.7512,0,0,0,0
AL591925.1,0,0,0,0,0,0,0,0
MIR3178,0,0,0,0,0,0,0,0
