ENSEMBL_id	KD0d_A	KD0d_B	KD0d_C	KD1d_A	KD1d_B	KD1d_C	KD3d_A	KD3d_B	KD3d_C	WT0d_A	WT0d_B	WT0d_C	WT1d_A	WT1d_B	WT1d_C	WT3d_A	WT3d_B	WT3d_C
ENSG00000111728.10	0	2	0	0	0	2	0	0	1	0	0	0	1	3	3	11	5	7
ENSG00000111729.12	13	9	9	0	1	7	2	2	3	4	2	1	8	6	8	6	6	8
ENSG00000111731.12	413	315	287	29	47	63	143	107	98	58	67	76	166	239	180	126	120	127
ENSG00000111732.10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000111737.11	643	583	514	320	369	469	476	538	421	530	506	583	759	878	855	507	515	414
ENSG00000111752.10	110	74	86	20	17	23	35	35	34	36	47	35	91	101	72	69	64	65
ENSG00000111775.2	2239	1823	1652	1633	1827	2667	2966	3179	2509	1778	1952	2129	2130	2323	2051	1736	1638	1431
ENSG00000111783.12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111785.18	220	180	184	35	54	66	121	143	112	40	50	49	123	154	148	142	110	101
ENSG00000111786.8	932	686	659	223	276	368	459	509	413	426	438	495	786	905	789	496	415	394
ENSG00000111788.10	101	83	85	9	7	16	18	9	10	42	39	46	62	64	64	41	45	32
ENSG00000111790.13	509	469	418	105	101	186	353	389	316	48	74	104	218	264	206	213	207	195
ENSG00000111796.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111799.20	114	68	61	25	28	41	128	105	92	12	5	17	356	351	295	224	181	192
ENSG00000111801.15	82	43	34	8	11	10	39	29	24	33	35	23	27	38	28	29	28	24
ENSG00000111802.13	668	462	446	85	91	139	483	448	342	69	76	87	285	344	265	161	153	131
ENSG00000111816.7	672	561	466	26	36	59	122	91	76	34	65	67	250	350	284	171	112	119
ENSG00000111817.16	1086	837	760	212	268	367	782	723	533	121	119	138	1428	1809	1492	823	794	716
